0.000000 1.391496 0.087661 -0.032313 
0.002738 1.391077 0.102820 -0.031985 
0.005476 1.390505 0.117968 -0.031654 
0.008214 1.389783 0.133102 -0.031319 
0.010951 1.388909 0.148223 -0.030981 
0.013689 1.387885 0.163327 -0.030639 
0.016427 1.386710 0.178413 -0.030294 
0.019165 1.385385 0.193480 -0.029946 
0.021903 1.383911 0.208527 -0.029594 
0.024641 1.382287 0.223551 -0.029240 
0.027379 1.380514 0.238550 -0.028882 
0.030116 1.378593 0.253524 -0.028521 
0.032854 1.376524 0.268471 -0.028157 
0.035592 1.374308 0.283389 -0.027790 
0.038330 1.371944 0.298277 -0.027420 
0.041068 1.369433 0.313133 -0.027047 
0.043806 1.366777 0.327955 -0.026671 
0.046543 1.363975 0.342743 -0.026292 
0.049281 1.361028 0.357494 -0.025911 
0.052019 1.357936 0.372207 -0.025527 
0.054757 1.354700 0.386880 -0.025140 
0.057495 1.351322 0.401513 -0.024750 
0.060233 1.347800 0.416104 -0.024358 
0.062971 1.344137 0.430650 -0.023963 
0.065708 1.340332 0.445151 -0.023566 
0.068446 1.336386 0.459606 -0.023166 
0.071184 1.332301 0.474012 -0.022764 
0.073922 1.328076 0.488369 -0.022360 
0.076660 1.323712 0.502674 -0.021953 
0.079398 1.319210 0.516928 -0.021544 
0.082136 1.314571 0.531127 -0.021132 
0.084873 1.309796 0.545272 -0.020719 
0.087611 1.304885 0.559360 -0.020303 
0.090349 1.299839 0.573390 -0.019885 
0.093087 1.294659 0.587361 -0.019465 
0.095825 1.289346 0.601271 -0.019043 
0.098563 1.283900 0.615120 -0.018619 
0.101300 1.278323 0.628906 -0.018194 
0.104038 1.272615 0.642627 -0.017766 
0.106776 1.266776 0.656283 -0.017337 
0.109514 1.260809 0.669872 -0.016905 
0.112252 1.254714 0.683392 -0.016472 
0.114990 1.248491 0.696844 -0.016038 
0.117728 1.242142 0.710225 -0.015602 
0.120465 1.235668 0.723534 -0.015164 
0.123203 1.229069 0.736770 -0.014725 
0.125941 1.222346 0.749932 -0.014284 
0.128679 1.215501 0.763019 -0.013841 
0.131417 1.208534 0.776029 -0.013398 
0.134155 1.201446 0.788962 -0.012953 
0.136893 1.194239 0.801817 -0.012507 
0.139630 1.186913 0.814592 -0.012059 
0.142368 1.179469 0.827285 -0.011610 
0.145106 1.171909 0.839897 -0.011161 
0.147844 1.164233 0.852427 -0.010710 
0.150582 1.156442 0.864872 -0.010258 
0.153320 1.148537 0.877232 -0.009805 
0.156057 1.140520 0.889506 -0.009351 
0.158795 1.132392 0.901693 -0.008896 
0.161533 1.124153 0.913793 -0.008440 
0.164271 1.115804 0.925803 -0.007983 
0.167009 1.107348 0.937723 -0.007526 
0.169747 1.098783 0.949553 -0.007068 
0.172485 1.090113 0.961291 -0.006609 
0.175222 1.081338 0.972936 -0.006150 
0.177960 1.072459 0.984487 -0.005690 
0.180698 1.063477 0.995945 -0.005229 
0.183436 1.054393 1.007307 -0.004768 
0.186174 1.045208 1.018572 -0.004307 
0.188912 1.035924 1.029741 -0.003845 
0.191650 1.026542 1.040812 -0.003383 
0.194387 1.017062 1.051785 -0.002920 
0.197125 1.007487 1.062658 -0.002457 
0.199863 0.997816 1.073431 -0.001994 
0.202601 0.988052 1.084103 -0.001531 
0.205339 0.978195 1.094673 -0.001067 
